ID	Word	W1	W2	DEF_SYNT
1	abducent	supplying	muscle	(S1 (NP (NP (DT a) (JJ small) (NN motor) (NN nerve)) (VP (VBG supplying) (NP (NP (DT the) (JJ lateral) (JJ rectus) (NN muscle)) (PP (IN of) (NP (DT the) (NN eye)))))))#
2	adducting	draw	limb	(S1 (S (VP (VB draw) (NP (NP (DT a) (NN limb)) (PP (IN towards) (NP (DT the) (NN body)))))))#
3	dissilient	do	seed	(S1 (S (VP (VBG bursting) (PRT (RP open)) (PP (IN with) (NP (NN force))) (, ,) (SBAR (IN as) (S (VP (VBP do) (NP (DT some) (JJ ripe) (NN seed) (NNS vessels))))))))#
4	parturient	giving	birth	(S1 (PP (IN of) (S (VP (CC or) (VP (VBG relating) (PP (TO to))) (CC or) (VP (VBG giving) (NP (NN birth)))))))#
5	half-length	showing	body	(S1 (NP (NP (DT a) (NN portrait)) (VP (VBG showing) (NP (NP (DT the) (NN body)) (PP (IN from) (NP (NP (RB only) (DT the) (NN waist)) (ADVP (IN up))))))))#
6	full-length	representing	length	(S1 (S (VP (VBG representing) (CC or) (VBG accommodating) (NP (DT the) (JJ entire) (NN length)))))#
7	absorbefacient	inducing	absorption	(S1 (S (VP (VBG inducing) (CC or) (VBG promoting) (NP (NN absorption)))))#
8	sorbefacient	inducing	absorption	(S1 (S (VP (VBG inducing) (CC or) (VBG promoting) (NP (NN absorption)))))#
9	shock-absorbent	having	capacity	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN capacity)) (SBAR (S (VP (TO to) (VP (VB absorb) (NP (NP (DT the) (NN energy)) (PP (IN of) (NP (DT an) (NN impact))))))))))))#
10	surface-assimilative	having	capacity	(S1 (S (VP (VBG having) (NP (NN capacity) (CC or) (NN tendency) (S (VP (TO to) (VP (VP (VB adsorb)) (CC or) (VP (VB cause) (S (VP (TO to) (VP (VBP accumulate) (PP (IN on) (NP (DT a) (NN surface))))))))))))))#
11	chemisorptive	having	capacity	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN capacity)) (SBAR (S (VP (TO to) (VP (VB adsorb) (PP (IN by) (NP (NNP chemical))) (SBAR (IN as) (S (VP (VBN contrasted) (PP (IN with) (NP (JJ physical) (NNS forces))))))))))))))#
12	chemosorptive	having	capacity	(S1 (S (VP (VBG having) (NP (NP (DT the) (NN capacity)) (SBAR (S (VP (TO to) (VP (VB adsorb) (PP (IN by) (NP (NNP chemical))) (SBAR (IN as) (S (VP (VBN contrasted) (PP (IN with) (NP (JJ physical) (NNS forces))))))))))))))#
13	nonadsorbent	lacking	capacity	(S1 (S (VP (VBG lacking) (NP (NP (DT a) (NN capacity)) (SBAR (S (VP (TO to) (VP (VP (VB adsorb)) (CC or) (VP (VB cause) (S (VP (TO to) (VP (VBP accumulate) (PP (IN on) (NP (DT a) (NN surface)))))))))))))))#
14	nonadsorptive	lacking	capacity	(S1 (S (VP (VBG lacking) (NP (NP (DT a) (NN capacity)) (SBAR (S (VP (TO to) (VP (VP (VB adsorb)) (CC or) (VP (VB cause) (S (VP (TO to) (VP (VBP accumulate) (PP (IN on) (NP (DT a) (NN surface)))))))))))))))#
15	abstentious	indulging	appetite	(S1 (NP (NN self-restraining) (: ;) (S (RB not) (VP (VBG indulging) (NP (NP (DT an) (NN appetite)) (PP (ADVP (RB especially)) (IN for) (NP (NN food) (CC or) (NN drink))))))))#
16	untrod	lacking	pathways	(S1 (S (VP (VBG lacking) (NP (NNS pathways)))))#
17	acid-forming	yielding	acid	(S1 (S (VP (VBG yielding) (NP (NP (DT an) (NN acid)) (PP (IN in) (NP (JJ aqueous) (NN solution)))))))#
