ID	Word	W1	W2	DEF_SYNT
1	adducting	draw	limb	(S1 (S (VP (VB draw) (NP (NP (DT a) (NN limb)) (PP (IN towards) (NP (DT the) (NN body)))))))#
2	hi-fi	high	fidelity	(S1 (NP (NP (NN equipment)) (PP (IN for) (NP (NP (DT the) (NN reproduction)) (PP (IN of) (NP (NN sound))) (PP (IN with) (NP (JJ high) (NNP fidelity)))))))#
3	recognised	show	approval	(S1 (S (VP (VB show) (NP (NP (NN approval) (CC or) (NN appreciation)) (PP (IN of))))))#
4	recognised	meeting	someone	(S1 (S (NP (NNP express)) (VP (VBZ greetings) (PP (IN upon) (S (VP (VBG meeting) (NP (NN someone))))))))#
5	recognised	be	same	(S1 (S (VP (VBP perceive) (S (VP (TO to) (VP (VB be) (NP (DT the) (JJ same))))))))#
6	recognised	claimed	power	(S1 (S (VP (VB accept) (S (-LRB- -LRB-) (NP (NN someone)) (-RRB- -RRB-) (VP (TO to) (VP (VB be) (SBAR (WHNP (WP what)) (S (VP (VBZ is) (VP (VBN claimed) (CC or) (VB accept) (NP (PRP$ his) (NN power) (CC and) (NN authority))))))))))))#
7	dependant	financial	support	(S1 (NP (NP (DT a) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ relies) (PP (IN on) (NP (DT another) (NN person))) (PP (IN for) (NP (NP (NN support)) (PRN (-LRB- -LRB-) (NP (RB especially) (JJ financial) (NN support)) (-RRB- -RRB-)))))))))#
8	agglutinate	agglutinating	language	(S1 (NP (NP (NNP string) (RB together)) (PRN (-LRB- -LRB-) (NP (NP (NNS morphemes)) (PP (IN in) (NP (DT an) (JJ agglutinating) (NN language)))) (-RRB- -RRB-))))#
9	agglutinate	red	blood	(S1 (FRAG (NP (NN clump) (RB together)) (: ;) (NP (NP (NP (RB as)) (PP (IN of) (NP (NNS bacteria)))) (, ,) (NP (JJ red) (NN blood) (NNS cells)) (, ,) (NP (FW etc))) (. .)))#
10	jewelled	precious	stones	(S1 (S (VP (VB adorn) (CC or) (VB decorate) (PP (IN with) (NP (JJ precious) (NNS stones))))))#
11	co-ordinated	bring	order	(S1 (S (VP (VBP bring) (NP (NN order) (CC and) (NN organization)) (PP (TO to)))))#
12	co-ordinated	common	action	(S1 (S (VP (VB bring) (PP (IN into) (NP (NP (JJ common) (NN action)) (, ,) (NP (NN movement)) (, ,) (CC or) (NP (NN condition)))))))#
13	abecedarian	16th	century	(S1 (S (NP (NP (DT a) (JJ 16th) (NN century) (NN sect)) (PP (IN of) (NP (NNP Anabaptists)))) (VP (VBD centered) (PP (IN in) (NP (NP (NNP Germany)) (SBAR (WHNP (WP who)) (S (VP (VBD had) (NP (NP (DT an) (JJ absolute) (NN disdain)) (PP (IN for) (NP (JJ human) (NN knowledge))))))))))))#
14	alphabetised	alphabetical	order	(S1 (S (VP (VB arrange) (PP (IN in) (NP (JJ alphabetical) (NN order))))))#
15	analphabetic	illiterate	person	(S1 (NP (NP (DT an) (JJ illiterate) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ does) (RB not) (VP (VB know) (NP (DT the) (NN alphabet))))))))#
16	smouldering	have	feelings	(S1 (S (VP (VB have) (NP (JJ strong) (VBN suppressed) (NNS feelings)))))#
17	savoury	aromatic	herbs	(S1 (NP (NP (DT either)) (PP (IN of) (NP (NP (CD two) (JJ aromatic) (NNS herbs)) (PP (IN of) (NP (DT the) (NN mint) (NN family)))))))#
18	militarised	lend	character	(S1 (S (VP (VB lend) (NP (NP (DT a) (JJ military) (NN character)) (SBAR (S (VP (TO to) (VP (PRN (-LRB- -LRB-) (NP (DT a) (NN country)) (-RRB- -RRB-)) (, ,) (PP (IN as) (PP (IN by) (S (VP (VBG building) (PRT (RP up)) (NP (DT a) (JJ military) (NN force))))))))))))))#
19	militarised	military	use	(S1 (S (VP (VB adopt) (PP (IN for) (NP (JJ military) (NN use))))))#
20	walk-on	small	part	(S1 (S (VP (VBZ plays) (NP (DT a) (JJ small) (NN part)) (PP (IN in) (NP (DT a) (JJ dramatic) (NN production))))))#
21	bespoken	be	signal	(S1 (S (VP (VB be) (NP (NP (NP (DT a) (NN signal)) (PP (IN for))) (CC or) (NP (NP (DT a) (NN symptom)) (PP (IN of)))))))#
22	bespoken	express	need	(S1 (S (S (VP (VP (VBP express) (NP (DT the) (NN need))) (CC or) (VP (VBP desire) (PP (IN for))))) (: ;) (S (VP (VBP ask) (PP (IN for))))))#
23	authorised	give	power	(S1 (S (VP (VB give) (CC or) (VB delegate) (NP (NN power) (CC or) (NN authority)) (PP (TO to)))))#
24	authorised	grant	authorization	(S1 (S (VP (VB grant) (NP (NN authorization) (CC or) (NN clearance)) (PP (IN for)))))#
25	barrelled	put	barrels	(S1 (S (VP (VBD put) (PRT (RP in)) (NP (NNS barrels)))))#
26	bibless	sacred	writings	(S1 (NP (NP (DT the) (JJ sacred) (NNS writings)) (PP (IN of) (NP (DT the) (NNP Christian) (NNS religions)))))#
27	coloured	give	explanation	(S1 (S (VP (VP (VB give) (NP (DT a) (JJ deceptive) (NN explanation))) (CC or) (VP (VB excuse) (PP (IN for))))))#
28	coloured	add	color	(S1 (S (VP (VB add) (NP (NN color)) (PP (TO to)))))#
29	coloured	change	color	(S1 (S (VP (VB change) (NP (NN color)) (, ,) (ADVP (RB often)) (PP (IN in) (NP (DT an) (JJ undesired) (NN manner))))))#
30	negroid	dark	skin	(S1 (NP (NP (DT a) (NN person)) (PP (IN with) (NP (JJ dark) (NN skin))) (SBAR (WHNP (WP who)) (S (VP (VBZ comes) (PP (IN from) (NP (NNP Africa))) (PRN (-LRB- -LRB-) (CC or) (SBAR (WHNP (WP$ whose) (NNS ancestors)) (S (VP (VBD came) (PP (IN from) (NP (NNP Africa)))))) (-RRB- -RRB-)))))))#
31	dolichocephalic	long	head	(S1 (NP (NP (DT an) (NN adult)) (PP (IN with) (NP (DT a) (JJ long) (JJ narrow) (NN head)))))#
32	recreant	abject	coward	(S1 (NP (DT an) (JJ abject) (NN coward)))#
33	recreant	disloyal	person	(S1 (S (NP (NP (DT a) (JJ disloyal) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ betrays))))) (VP (CC or) (NNS deserts) (NP (NP (PRP$ his) (NN cause) (CC or) (NN religion)) (CC or) (NP (JJ political) (NN party) (CC or) (NN friend) (NN etc)))) (. .)))#
34	latitudinarian	religious	belief	(S1 (NP (NP (DT a) (NN person)) (SBAR (WHNP (WP who)) (S (VP (VBZ is) (ADJP (JJ broad-minded) (CC and) (JJ tolerant)) (PRN (-LRB- -LRB-) (PP (ADVP (RB especially)) (IN in) (NP (NP (NNS standards)) (PP (IN of) (NP (JJ religious) (NN belief) (CC and) (NN conduct))))) (-RRB- -RRB-)))))))#
35	labouring	strive	effort	(S1 (S (VP (VBP strive) (CC and) (VB make) (NP (DT an) (NN effort) (S (VP (TO to) (VP (VB reach) (NP (DT a) (NN goal)))))))))#
36	labouring	undergo	efforts	(S1 (S (VP (VB undergo) (NP (NP (DT the) (NNS efforts)) (PP (IN of) (NP (NN childbirth)))))))#
37	sternutatory	chemical	substance	(S1 (NP (NP (DT a) (JJ chemical) (NN substance)) (SBAR (WHNP (WDT that)) (S (VP (VBZ causes) (S (VP (VBG sneezing) (CC and) (VBG coughing) (CC and) (VBG crying))))))))#
38	unionised	form	union	(S1 (S (VP (VB form) (CC or) (VB join) (NP (DT a) (NN union)))))#
39	cyprian	sexual	intercourse	(S1 (NP (NP (DT a) (NN woman)) (SBAR (WHNP (WP who)) (S (VP (VBZ engages) (PP (IN in) (NP (NP (JJ sexual) (NN intercourse)) (PP (IN for) (NP (NN money))))))))))#
40	sky-blue	light	shade	(S1 (NP (NP (DT a) (JJ light) (NN shade)) (PP (IN of) (NP (NN blue)))))#
41	ochre	moderate	yellow-orange	(S1 (NP (NP (DT a) (JJ moderate) (NN yellow-orange)) (PP (TO to) (NP (NN orange) (NN color)))))#
42	grey	neutral	color	(S1 (NP (NP (DT a) (JJ neutral) (JJ achromatic) (NN color) (NN midway)) (PP (IN between) (NP (JJ white) (CC and) (JJ black)))))#
43	grey	light	color	(S1 (NP (NP (NN horse)) (PP (IN of) (NP (DT a) (JJ light) (ADJP (JJ gray) (CC or) (JJ whitish)) (NN color)))))#
44	grey	make	grey	(S1 (VP (VB make) (NP (NNP grey))))#
45	grey	turn	grey	(S1 (VP (VB turn) (NP (NNP grey))))#
46	off-white	bleached	bones	(S1 (NP (NP (DT a) (NN shade)) (PP (IN of) (S (VP (JJ white) (NP (NP (DT the) (NN color)) (PP (IN of) (NP (JJ bleached) (NNS bones)))))))))#
47	colour	white	race	(S1 (NP (NP (NP (DT a) (NN race)) (PP (IN with) (NP (NP (NN skin)) (ADJP (RB pigmentation) (JJ different) (PP (IN from) (NP (DT the) (JJ white) (NN race))))))) (PRN (-LRB- -LRB-) (NP (RB especially) (NNPS Blacks)) (-RRB- -RRB-))))#
48	colour	strong	interaction	(S1 (S (-LRB- -LRB-) (NP (NNS physics)) (-RRB- -RRB-) (NP (NP (DT the) (NN characteristic)) (PP (IN of) (NP (NNS quarks))) (SBAR (WHNP (WDT that)) (S (VP (VBZ determines) (NP (NP (PRP$ their) (NN role)) (PP (IN in) (NP (DT the) (JJ strong) (NN interaction))))))))))#
49	colour	musical	sound	(S1 (NP (NP (DT the) (NN timbre)) (PP (IN of) (NP (DT a) (JJ musical) (NN sound)))))#
50	colour	visual	attribute	(S1 (NP (NP (DT a) (JJ visual) (NN attribute)) (PP (IN of) (NP (NP (NNS things)) (SBAR (WHNP (WDT that)) (S (VP (VBZ results) (PP (IN from) (NP (NP (DT the) (NN light)) (SBAR (S (NP (PRP they)) (VP (VP (VBP emit)) (CC or) (VP (VB transmit) (CC or) (VBP reflect))))))))))))))#
51	colour	light	sources	(S1 (S (NP (NP (DT the) (NN appearance)) (PP (IN of) (NP (NP (NNS objects)) (-LRB- -LRB-) (CC or) (NP (JJ light) (NNS sources)) (-RRB- -RRB-)))) (VP (VBN described) (PP (IN in) (NP (NP (NNS terms)) (PP (IN of) (NP (NP (NP (DT a) (NN person) (POS 's)) (NN perception)) (PP (IN of) (NP (PRP$ their) (NN hue) (CC and) (NN lightness) (PRN (-LRB- -LRB-) (CC or) (JJ brightness) (-RRB- -RRB-)) (CC and) (NN saturation))))))))))#
52	colour	give	explanation	(S1 (S (VP (VP (VB give) (NP (DT a) (JJ deceptive) (NN explanation))) (CC or) (VP (VB excuse) (PP (IN for))))))#
53	colour	add	color	(S1 (S (VP (VB add) (NP (NN color)) (PP (TO to)))))#
54	colour	change	color	(S1 (S (VP (VB change) (NP (NN color)) (, ,) (ADVP (RB often)) (PP (IN in) (NP (DT an) (JJ undesired) (NN manner))))))#
55	etiolate	stunting	growth	(S1 (S (VP (VB make) (ADJP (JJ weak)) (PP (IN by) (S (VP (VBG stunting) (NP (NP (DT the) (NN growth) (CC or) (NN development)) (PP (IN of)))))))))#
56	etiolate	alter	development	(S1 (S (VP (NN bleach) (CC and) (VP (VB alter) (NP (NP (DT the) (JJ natural) (NN development)) (PP (IN of) (NP (-LRB- -LRB-) (NP (DT a) (JJ green) (NN plant)) (-RRB- -RRB-)))) (PP (IN by) (S (VP (VBG excluding) (NP (NN sunlight)))))))))#
