Synset	T	V	N	Parsed Definition
200004227	expire	expel	air	(S1 (S (VP (VB expel)(NP (NN air)))))#
200004227	breathe out	expel	air	(S1 (S (VP (VB expel)(NP (NN air)))))#
200004227	exhale	expel	air	(S1 (S (VP (VB expel)(NP (NN air)))))#
200009631	twitch	make	motion	(S1 (S (VP (VB make)(NP (DT an)(JJ uncontrolled)(, ,)(JJ short)(, ,)(JJ jerky)(NN motion)))))#
200009631	jerk	make	motion	(S1 (S (VP (VB make)(NP (DT an)(JJ uncontrolled)(, ,)(JJ short)(, ,)(JJ jerky)(NN motion)))))#
200010435	act	show	behavior	(S1 (S (VP (VB show)(NP (DT a)(JJ certain)(NN behavior)))))#
200010435	behave	show	behavior	(S1 (S (VP (VB show)(NP (DT a)(JJ certain)(NN behavior)))))#
200010435	do	show	behavior	(S1 (S (VP (VB show)(NP (DT a)(JJ certain)(NN behavior)))))#
200015498	nap	take	siesta	(S1 (S (VP (VB take)(NP (DT a)(NN siesta)))))#
200015498	catnap	take	siesta	(S1 (S (VP (VB take)(NP (DT a)(NN siesta)))))#
200015498	catch a wink	take	siesta	(S1 (S (VP (VB take)(NP (DT a)(NN siesta)))))#
200021065	put under	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200021065	put out	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200021065	anaesthetise	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200021065	anaesthetize	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200021065	anesthetize	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200021065	anesthetise	administer	drug	(S1 (S (VP (VB administer)(NP (NP (DT an)(JJ anesthetic)(NN drug))(SBAR (S (VP (TO to))))))))#
200029742	bellylaugh	laugh	laugh	(S1 (S (VP (VB laugh)(NP (DT a)(JJ deep)(, ,)(JJ hearty)(NN laugh)))))#
200031418	cackle	emit	kind	(S1 (S (VP (VB emit)(NP (NP (DT a)(JJ loud)(, ,)(JJ unpleasant)(NN kind))(PP (IN of)(NP (VBG laughing)))))))#
