ID	Word	W1	W2	DEF_SYNT
1	able	having	means	(S1 (S (PRN (-LRB- -LRB-) (VP (ADVP (RB usually)) (VBN followed) (PP (IN by) (`` `) (X (TO to)) ('' '))) (-RRB- -RRB-)) (VP (VBG having) (NP (NP (DT the) (JJ necessary) (NN means) (CC or) (NN skill) (CC or) (NN know-how) (CC or) (NN authority)) (SBAR (S (VP (TO to) (VP (VB do) (NP (NN something))))))))))#
2	unable	having	means	(S1 (PRN (-LRB- -LRB-) (VP (ADVP (RB usually)) (VBN followed) (PP (IN by) (`` `) (X (TO to)) ('' '))) (-RRB- -RRB-) (S (VP (RB not) (VBG having) (NP (DT the) (JJ necessary) (NNS means) (CC or) (NN skill) (CC or) (NN know-how))))))#
3	dissilient	do	seed	(S1 (S (VP (VBG bursting) (PRT (RP open)) (PP (IN with) (NP (NN force))) (, ,) (SBAR (IN as) (S (VP (VBP do) (NP (DT some) (JJ ripe) (NN seed) (NNS vessels))))))))#
4	parturient	giving	birth	(S1 (S (VP (VBG giving) (NP (NN birth)))))#
5	direct	lacking	elements	(S1 (S (S (VP (VBG lacking) (NP (ADJP (VBG compromising) (CC or) (JJ mitigating)) (NNS elements)))) (: ;) (NP (JJ exact))))#
6	relational	having	relation	(S1 (S (VP (VP (VBG having) (NP (DT a) (NN relation))) (CC or) (VP (VBG being) (VP (VBD related))))))#
7	absorbent	having	power	(S1 (NP (S (VP (VBG having) (NP (NN power) (CC or) (NN capacity) (CC or) (NN tendency) (S (VP (TO to) (VP (VP (VB absorb)) (CC or) (VP (VB soak) (PRT (RP up)) (NP (NN something))))))))) (PRN (-LRB- -LRB-) (NP (NP (NNS liquids)) (CC or) (NP (NN energy) (FW etc) (. .))) (-RRB- -RRB-))))#
8	absorptive	having	power	(S1 (NP (S (VP (VBG having) (NP (NN power) (CC or) (NN capacity) (CC or) (NN tendency) (S (VP (TO to) (VP (VP (VB absorb)) (CC or) (VP (VB soak) (PRT (RP up)) (NP (NN something))))))))) (PRN (-LRB- -LRB-) (NP (NP (NNS liquids)) (CC or) (NP (NN energy) (FW etc) (. .))) (-RRB- -RRB-))))#
9	absorbefacient	promoting	absorption	(S1 (S (VP (VBG inducing) (CC or) (VBG promoting) (NP (NN absorption)))))#
10	sorbefacient	promoting	absorption	(S1 (S (VP (VBG inducing) (CC or) (VBG promoting) (NP (NN absorption)))))#
