SYSET	Word	W1	W2	DEF_SYNT
100002137	abstraction	general	concept	 (S1 (NP (NP (DT a)(JJ general)(NN concept))(VP (VBN formed)(PP (IN by)(S (VP (VBG extracting)(NP (JJ common)(NNS features))(PP (IN from)(NP (JJ specific)(NNS examples)))))))))# 
100006400	biont	discrete	unit	 (S1 (NP (NP (DT a)(JJ discrete)(NN unit))(PP (IN of)(NP (VBG living)(NN matter)))))# 
100021939	artefact	man-made	object	 (S1 (NP (NP (DT a)(JJ man-made)(NN object))(VP (VBN taken)(PP (IN as)(NP (DT a)(NN whole))))))# 
100021939	artifact	man-made	object	 (S1 (NP (NP (DT a)(JJ man-made)(NN object))(VP (VBN taken)(PP (IN as)(NP (DT a)(NN whole))))))# 
100023773	motivation	psychological	feature	 (S1 (NP (NP (DT the)(JJ psychological)(NN feature))(SBAR (WHNP (WDT that))(S (VP (VBZ arouses)(NP (NP (DT an)(NN organism))(PP (TO to)(NP (NN action))))(PP (IN toward)(NP (DT a)(VBN desired)(NN goal))))))))# 
100023773	motive	psychological	feature	 (S1 (NP (NP (DT the)(JJ psychological)(NN feature))(SBAR (WHNP (WDT that))(S (VP (VBZ arouses)(NP (NP (DT an)(NN organism))(PP (TO to)(NP (NN action))))(PP (IN toward)(NP (DT a)(VBN desired)(NN goal))))))))# 
100023773	need	psychological	feature	 (S1 (NP (NP (DT the)(JJ psychological)(NN feature))(SBAR (WHNP (WDT that))(S (VP (VBZ arouses)(NP (NP (DT an)(NN organism))(PP (TO to)(NP (NN action))))(PP (IN toward)(NP (DT a)(VBN desired)(NN goal))))))))# 
100027807	form	spatial	arrangement	 (S1 (NP (NP (DT the)(JJ spatial)(NN arrangement))(PP (IN of)(NP (NP (NN something))(PP (IN as)(ADJP (JJ distinct)(PP (IN from)(NP (PRP its)(NN substance)))))))))# 
100027807	shape	spatial	arrangement	 (S1 (NP (NP (DT the)(JJ spatial)(NN arrangement))(PP (IN of)(NP (NP (NN something))(PP (IN as)(ADJP (JJ distinct)(PP (IN from)(NP (PRP its)(NN substance)))))))))# 
100028651	infinite	unlimited	expanse	 (S1 (NP (NP (DT the)(JJ unlimited)(NN expanse))(SBAR (WHPP (IN in)(WHNP (WDT which)))(S (NP (NN everything))(VP (AUX is)(VP (VBN located)))))))# 
100028651	space	unlimited	expanse	 (S1 (NP (NP (DT the)(JJ unlimited)(NN expanse))(SBAR (WHPP (IN in)(WHNP (WDT which)))(S (NP (NN everything))(VP (AUX is)(VP (VBN located)))))))# 
100036299	beachhead	initial	accomplishment	 (S1 (NP (NP (DT an)(JJ initial)(NN accomplishment))(SBAR (WHNP (WDT that))(S (VP (VBZ opens)(NP (NP (DT the)(NN way))(PP (IN for)(NP (JJ further)(NNS developments)))))))))# 
100036299	foothold	initial	accomplishment	 (S1 (NP (NP (DT an)(JJ initial)(NN accomplishment))(SBAR (WHNP (WDT that))(S (VP (VBZ opens)(NP (NP (DT the)(NN way))(PP (IN for)(NP (JJ further)(NNS developments)))))))))# 
100036580	cakewalk	easy	accomplishment	 (S1 (NP (DT an)(JJ easy)(NN accomplishment)))# 
100036762	effort	notable	achievement	 (S1 (NP (DT a)(JJ notable)(NN achievement)))# 
100036762	exploit	notable	achievement	 (S1 (NP (DT a)(JJ notable)(NN achievement)))# 
100036762	feat	notable	achievement	 (S1 (NP (DT a)(JJ notable)(NN achievement)))# 
100039297	contact	close	interaction	 (S1 (NP (JJ close)(NN interaction)))# 
100040152	give-and-take	mutual	interaction	 (S1 (NP (JJ mutual)(NN interaction)))# 
100040152	interchange	mutual	interaction	 (S1 (NP (JJ mutual)(NN interaction)))# 
100040152	reciprocation	mutual	interaction	 (S1 (NP (JJ mutual)(NN interaction)))# 
100040420	reciprocity	mutual	exchange	 (S1 (NP (NP (JJ mutual)(NN exchange))(PP (IN of)(NP (JJ commercial)(CC or)(JJ other)(NNS privileges)))))# 
100051712	interpenetration	mutual	penetration	 (S1 (NP (JJ mutual)(NN penetration)))# 
100051712	permeation	mutual	penetration	 (S1 (NP (JJ mutual)(NN penetration)))# 
100053806	vanishing	sudden	disappearance	 (S1 (NP (NP (DT a)(JJ sudden)(NN disappearance))(PP (IN from)(NP (NN sight)))))# 
100055227	decampment	breaking	camp	 (S1 (NP (JJ breaking)(NN camp)))# 
100060201	getaway	rapid	escape	 (S1 (NP (NP (DT a)(JJ rapid)(NN escape))(PRN (-LRB- -LRB-)(PP (IN as)(PP (IN by)(NP (NNS criminals))))(-RRB- -RRB-))))# 
100060201	lam	rapid	escape	 (S1 (NP (NP (DT a)(JJ rapid)(NN escape))(PRN (-LRB- -LRB-)(PP (IN as)(PP (IN by)(NP (NNS criminals))))(-RRB- -RRB-))))# 
100060747	skedaddle	hasty	flight	 (S1 (NP (DT a)(JJ hasty)(NN flight)))# 
100063014	record	extreme	attainment	 (S1 (NP (DT an)(JJ extreme)(NN attainment)))# 
100064370	sleeper	unexpected	hit	 (S1 (NP (DT an)(JJ unexpected)(NN hit)))# 
100064504	bang	conspicuous	success	 (S1 (NP (DT a)(JJ conspicuous)(NN success)))# 
100064504	hit	conspicuous	success	 (S1 (NP (DT a)(JJ conspicuous)(NN success)))# 
100064504	smash	conspicuous	success	 (S1 (NP (DT a)(JJ conspicuous)(NN success)))# 
100064504	smasher	conspicuous	success	 (S1 (NP (DT a)(JJ conspicuous)(NN success)))# 
100064504	strike	conspicuous	success	 (S1 (NP (DT a)(JJ conspicuous)(NN success)))# 
