ID	Word	W1	W2	DEF_SYNT
1	entity	have	existence	(S1 (SBAR (WHPP (IN that) (WHNP (WDT which))) (S (VP (VBZ is) (VP (VP (VBN perceived) (CC or) (VBN known)) (CC or) (VP (VBN inferred) (S (VP (TO to) (VP (VB have) (NP (NP (PRP$ its) (JJ own) (JJ distinct) (NN existence)) (PRN (-LRB- -LRB-) (ADJP (JJ living) (CC or) (JJ nonliving)) (-RRB- -RRB-))))))))))))#
2	abstraction	extracting	features	(S1 (S (NP (DT a) (JJ general) (NN concept)) (VP (VBN formed) (PP (IN by) (S (VP (VBG extracting) (NP (NP (JJ common) (NNS features)) (PP (IN from) (NP (JJ specific) (NNS examples))))))))))#
3	object	cast	shadow	(S1 (NP (NP (DT a) (ADJP (JJ tangible) (CC and) (JJ visible)) (NN entity)) (: ;) (NP (NP (DT an) (NN entity)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB cast) (NP (DT a) (NN shadow)))))))))#
4	life	living	things	(S1 (S (VP (VBG living) (NP (NNS things)) (ADVP (RB collectively)))))#
5	cell	form	colonies	(S1 (S (NP (LST (-LRB- -LRB-) (NN biology) (-RRB- -RRB-)) (NP (DT the) (JJ basic) (ADJP (JJ structural) (CC and) (JJ functional)) (NN unit)) (PP (IN of) (NP (DT all) (NNS organisms)))) (: ;) (NP (PRP they)) (VP (VP (MD may) (VP (VB exist) (PP (IN as) (NP (NP (JJ independent) (NNS units)) (PP (IN of) (NP (NP (NN life)) (PRN (-LRB- -LRB-) (PP (IN as) (PP (IN in) (NP (NNS monads)))) (-RRB- -RRB-)))))))) (CC or) (VP (MD may) (VP (VB form) (NP (NNS colonies) (CC or) (NNS tissues)) (PP (IN as) (PP (IN in) (NP (JJR higher) (NNS plants) (CC and) (NNS animals)))))))))#
6	cause	produces	effect	(S1 (NP (NP (DT any) (NN entity)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBZ produces) (NP (DT an) (NN effect))) (CC or) (VP (VBZ is) (ADJP (JJ responsible) (PP (IN for) (NP (NNS events) (CC or) (NNS results))))))))))#
7	plant	lacking	power	(S1 (NP (LST (-LRB- -LRB-) (NN botany) (-RRB- -RRB-)) (NP (DT a) (VBG living) (NN organism)) (VP (VBG lacking) (NP (NP (DT the) (NN power)) (PP (IN of) (NP (NN locomotion)))))))#
8	flora	lacking	power	(S1 (NP (LST (-LRB- -LRB-) (NN botany) (-RRB- -RRB-)) (NP (DT a) (VBG living) (NN organism)) (VP (VBG lacking) (NP (NP (DT the) (NN power)) (PP (IN of) (NP (NN locomotion)))))))#
9	matter	has	mass	(S1 (SBAR (WHPP (IN that) (WHNP (WDT which))) (S (VP (VP (VBZ has) (NP (NN mass))) (CC and) (VP (VBZ occupies) (NP (NN space)))))))#
10	food	give	energy	(S1 (NP (NP (DT any) (NN substance)) (SBAR (WHNP (WDT that)) (S (VP (MD can) (VP (VB be) (VP (VBN metabolized) (PP (IN by) (NP (DT an) (NN animal) (S (VP (TO to) (VP (VP (VB give) (NP (NN energy))) (CC and) (VP (VB build) (NP (NN tissue)))))))))))))))#
